"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",PyYAML:5.3.1,/home/jvs/course_labs/labs/lab07/vulnerable-app/requirements.txt:PyYAML/5.3.1,"","","","",pkg:pypi/pyyaml@5.3.1,"cpe:2.3:a:pyyaml:pyyaml:5.3.1:*:*:*:*:*:*:*, cpe:2.3:a:yaml_project:yaml:5.3.1:*:*:*:*:*:*:*",CVE-2020-14343,CWE-20 Improper Input Validation,"A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.",NVD,HIGH,10.0,/AV:N/AC:L/Au:N/C:C/I:C/A:C,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",certifi:2018.4.16,/home/jvs/course_labs/labs/lab07/vulnerable-app/requirements.txt:certifi/2018.4.16,"","","","",pkg:pypi/certifi@2018.4.16,cpe:2.3:a:certifi:certifi:2018.4.16:*:*:*:*:*:*:*,CVE-2023-37920,CWE-345 Insufficient Verification of Data Authenticity,"Certifi is a curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. Certifi prior to version 2023.07.22 recognizes ""e-Tugra"" root certificates. e-Tugra's root certificates were subject to an investigation prompted by reporting of security issues in their systems. Certifi 2023.07.22 removes root certificates from ""e-Tugra"" from the root store.",NVD,"","","",CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",certifi:2018.4.16,/home/jvs/course_labs/labs/lab07/vulnerable-app/requirements.txt:certifi/2018.4.16,"","","","",pkg:pypi/certifi@2018.4.16,cpe:2.3:a:certifi:certifi:2018.4.16:*:*:*:*:*:*:*,CVE-2022-23491,CWE-345 Insufficient Verification of Data Authenticity,"Certifi is a curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. Certifi 2022.12.07 removes root certificates from ""TrustCor"" from the root store. These are in the process of being removed from Mozilla's trust store. TrustCor's root certificates are being removed pursuant to an investigation prompted by media reporting that TrustCor's ownership also operated a business that produced spyware. Conclusions of Mozilla's investigation can be found in the linked google group discussion.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N/E:3.9/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",commons-httpclient-3.1.jar,/home/jvs/course_labs/labs/lab07/sca/lib/commons-httpclient-3.1.jar,"The HttpClient  component supports the client-side of RFC 1945 (HTTP/1.0)  and RFC 2616 (HTTP/1.1) , several related specifications (RFC 2109 (Cookies) , RFC 2617 (HTTP Authentication) , etc.), and provides a framework by which new request types (methods) or HTTP extensions can be created easily.",Apache License: http://www.apache.org/licenses/LICENSE-2.0,8ad8c9229ef2d59ab9f59f7050e846a5,964cd74171f427720480efdec40a7c7f6e58426a,pkg:maven/commons-httpclient/commons-httpclient@3.1,"cpe:2.3:a:apache:commons-httpclient:3.1:*:*:*:*:*:*:*, cpe:2.3:a:apache:httpclient:3.1:*:*:*:*:*:*:*",CVE-2012-5783,CWE-295 Improper Certificate Validation,"Apache Commons HttpClient 3.x, as used in Amazon Flexible Payments Service (FPS) merchant Java SDK and other products, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,"","","","","","",HIGH,95,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",commons-httpclient-3.1.jar,/home/jvs/course_labs/labs/lab07/sca/lib/commons-httpclient-3.1.jar,"The HttpClient  component supports the client-side of RFC 1945 (HTTP/1.0)  and RFC 2616 (HTTP/1.1) , several related specifications (RFC 2109 (Cookies) , RFC 2617 (HTTP Authentication) , etc.), and provides a framework by which new request types (methods) or HTTP extensions can be created easily.",Apache License: http://www.apache.org/licenses/LICENSE-2.0,8ad8c9229ef2d59ab9f59f7050e846a5,964cd74171f427720480efdec40a7c7f6e58426a,pkg:maven/commons-httpclient/commons-httpclient@3.1,"cpe:2.3:a:apache:commons-httpclient:3.1:*:*:*:*:*:*:*, cpe:2.3:a:apache:httpclient:3.1:*:*:*:*:*:*:*",CVE-2020-13956,NVD-CWE-noinfo,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host for request execution.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:P/A:N,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N/E:3.9/RC:R/MAV:A,"","","",HIGH,95,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",groovy-all-2.1.6.jar,/home/jvs/course_labs/labs/lab07/sca/lib/groovy-all-2.1.6.jar,"Groovy: A powerful, dynamic language for the JVM","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",0f9119501760847f7e431726b1264a0b,165b8246372a829c1915611646f6d964010656cf,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,cpe:2.3:a:apache:groovy:2.1.6:*:*:*:*:*:*:*,CVE-2015-3253,CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),The MethodClosure class in runtime/MethodClosure.java in Apache Groovy 1.7.0 through 2.4.3 allows remote attackers to execute arbitrary code or cause a denial of service via a crafted serialized object.,NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,262,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",groovy-all-2.1.6.jar,/home/jvs/course_labs/labs/lab07/sca/lib/groovy-all-2.1.6.jar,"Groovy: A powerful, dynamic language for the JVM","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",0f9119501760847f7e431726b1264a0b,165b8246372a829c1915611646f6d964010656cf,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,cpe:2.3:a:apache:groovy:2.1.6:*:*:*:*:*:*:*,CVE-2016-6814,CWE-502 Deserialization of Untrusted Data,"When an application with unsupported Codehaus versions of Groovy from 1.7.0 to 2.4.3, Apache Groovy 2.4.4 to 2.4.7 on classpath uses standard Java serialization mechanisms, e.g. to communicate between servers or to store local data, it was possible for an attacker to bake a special serialized object that will execute code directly when deserialized. All applications which rely on serialization and do not isolate the code which deserializes objects were subject to this vulnerability.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,CRITICAL,9.8,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,262,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",groovy-all-2.1.6.jar,/home/jvs/course_labs/labs/lab07/sca/lib/groovy-all-2.1.6.jar,"Groovy: A powerful, dynamic language for the JVM","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",0f9119501760847f7e431726b1264a0b,165b8246372a829c1915611646f6d964010656cf,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,cpe:2.3:a:apache:groovy:2.1.6:*:*:*:*:*:*:*,CVE-2020-17521,NVD-CWE-Other,"Apache Groovy provides extension methods to aid with creating temporary directories. Prior to this fix, Groovy's implementation of those extension methods was using a now superseded Java JDK method call that is potentially not secure on some operating systems in some contexts. Users not using the extension methods mentioned in the advisory are not affected, but may wish to read the advisory for further details. Versions Affected: 2.0 to 2.4.20, 2.5.0 to 2.5.13, 3.0.0 to 3.0.6, and 4.0.0-alpha-1. Fixed in versions 2.4.21, 2.5.14, 3.0.7, 4.0.0-alpha-2.",NVD,LOW,2.1,/AV:L/AC:L/Au:N/C:P/I:N/A:N,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:1.8/RC:R/MAV:A,"","","",HIGH,262,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",jackson-annotations-2.4.0.jar,/home/jvs/course_labs/labs/lab07/sca/lib/jackson-annotations-2.4.0.jar,"Core annotations used for value types, used by Jackson data binding package.",http://www.apache.org/licenses/LICENSE-2.0.txt,6df1b79ec2e57d62106eb47129e4f7a3,d6a66c7a5f01cf500377bd669507a08cfeba882a,pkg:maven/com.fasterxml.jackson.core/jackson-annotations@2.4.0,cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.0:*:*:*:*:*:*:*,CVE-2018-1000873,CWE-20 Improper Input Validation,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H/E:2.8/RC:R/MAV:A,"","","",HIGH,37,"","","","","","","",""
vulnerable-app,"Wed, 14 Jan 2026 21:46:03 +0300",jackson-core-2.4.6.jar,/home/jvs/course_labs/labs/lab07/sca/lib/jackson-core-2.4.6.jar,"Core Jackson abstractions, basic JSON streaming API implementation",http://www.apache.org/licenses/LICENSE-2.0.txt,37f76778d460393ff737cf09be40ef06,2a1f6edb86b8c6d29f37f6a807295d4e5c279707,pkg:maven/com.fasterxml.jackson.core/jackson-core@2.4.6,cpe:2.3:a:fasterxml:jackson-modules-java8:2.4.6:*:*:*:*:*:*:*,CVE-2018-1000873,CWE-20 Improper Input Validation,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:N/A:P,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H/E:2.8/RC:R/MAV:A,"","","",HIGH,41,"","","","","","","",""
